Study_Hours,Sleep_Hours,Attendance,Previous_Score,Final_Score
3.04,7.42,81.1,53.84,49.62
6.81,4.36,93.12,77.84,61.3
2.57,5.59,97.48,39.0,55.72
7.22,8.22,57.35,43.76,69.2
4.48,4.12,96.33,73.34,60.28
9.43,8.07,74.61,73.2,84.32
2.24,5.41,62.91,68.47,44.76
4.07,4.59,72.96,71.64,56.5
2.02,7.48,99.0,62.56,54.01
9.32,7.14,74.63,45.11,78.64
8.9,8.39,66.44,50.74,76.8
3.32,7.68,81.67,40.9,54.56
6.94,8.02,62.01,84.51,71.12
8.35,5.41,53.79,65.0,68.02
6.0,4.89,56.44,54.05,52.95
5.77,7.75,56.4,57.72,69.66
3.18,8.03,57.6,86.84,52.54
1.84,8.95,56.94,39.2,48.58
9.07,6.06,82.04,65.17,75.22
9.1,5.86,59.09,60.35,79.08
6.7,7.88,67.28,66.69,71.55
4.05,5.7,94.84,31.09,60.55
4.14,8.65,73.7,82.33,58.08
7.53,8.29,83.38,85.93,81.61
9.07,6.14,58.62,63.91,77.29
8.98,7.75,59.61,71.8,78.71
8.02,7.77,52.04,85.35,79.66
